Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
ANKRD24		KIAA1981	19p13.3		uc010dtt.1
ANKRD26	THC2	KIAA1074	10p12.1	ENSG00000107890	uc009xku.1
ANKRD26P1		FLJ43980	16q11.2	ENSG00000261239	uc002eeb.3
ANKRD26P2			13q13.3	ENSG00000235550	
ANKRD26P3	LINC00414		13q12.11	ENSG00000237636	uc010tck.2
ANKRD26P4			13q12.3	ENSG00000229427	
ANKRD27		FLJ00040, DKFZp434L0718, VARP	19q13.12		uc002ntn.1
ANKRD28		KIAA0379, PITK, PP6-ARS-A, PPP1R65	3p25.1	ENSG00000206560	uc003caj.2
ANKRD29		FLJ25053	18q11.2	ENSG00000154065	uc002kun.3
ANKRD30A		NY-BR-1	10p11.21	ENSG00000148513	uc001iza.1
ANKRD30B		NY-BR-1.1	18p11.21	ENSG00000180777	uc010dlo.2
ANKRD30BL	NCRNA00164, ANKRD30BP3		2q21.2	ENSG00000163046	uc002tti.3
ANKRD30BP1	C21orf110, ANKRD30BP	PRED4	21q11.2	ENSG00000175302	
ANKRD30BP2	C21orf99	CT85, CTSP-1	21q11.2	ENSG00000224309	uc002yja.4
ANKRD30BP3			10q11.21	ENSG00000230501	uc001jca.3
ANKRD31		FLJ40191	5q13.3	ENSG00000145700	uc003kdo.2
ANKRD33	C12orf7	DKFZp686O1689, PANKY	12q13.13		uc001rzd.3
ANKRD33B			5p15.2	ENSG00000164236	uc021xwp.1
ANKRD33B-AS1			5p15.2	ENSG00000250106	
ANKRD34A	ANKRD34		1q21.1	ENSG00000272031	uc021ouy.2
ANKRD34B		DP58	5q14.1	ENSG00000189127	uc003kgw.3
ANKRD34C			15q25.1	ENSG00000235711	uc002bet.3
ANKRD34C-AS1			15q25.1	ENSG00000259234	
ANKRD35		FLJ25124	1q21.1	ENSG00000198483	uc001eob.1
ANKRD36		UNQ2430	2q11.2	ENSG00000135976	uc010yva.2
ANKRD36B	KIAA1641	FLJ21281	2q11.2	ENSG00000196912	uc010yvc.1
ANKRD36BP1	ANKRD26L1, ANKRD36BL1	MGC12538	1q24.2	ENSG00000214262	uc010plo.2
ANKRD36BP2			2q11.2	ENSG00000230006	uc032nuj.1
ANKRD36C		DKFZp667P0924	2q11.1	ENSG00000174501	
ANKRD36P1			Yq11.23	ENSG00000188399	
ANKRD37		Lrp2bp	4q35.1		uc003ixm.3
ANKRD39		MGC41816	2q11.2	ENSG00000213337	uc002sxd.4
ANKRD40		MGC15396	17q21.33	ENSG00000154945	uc002iso.3
ANKRD42		FLJ37874, SARP, PPP1R79	11q14.1	ENSG00000137494	uc001ozz.1
ANKRD44		PP6-ARS-B	2q33.1	ENSG00000065413	uc021vuj.1
ANKRD44-IT1			2q33.1	ENSG00000236977	uc032oos.1
ANKRD45		FLJ45235, CT117	1q25.1	ENSG00000183831	uc001gja.1
ANKRD46			8q22.3	ENSG00000186106	uc003yjm.4
ANKRD49		FLJ20189, FGIF, GBIF	11q21		uc001pew.3
ANKRD50		KIAA1223	4q28.1	ENSG00000151458	uc010inw.3
ANKRD52		FLJ34236, PP6-ARS-C	12q13.3	ENSG00000139645	uc001skm.4
ANKRD53		FLJ12056, FLJ36160	2p13.3	ENSG00000144031	uc002shl.4
ANKRD54		LIAR	22q13.1	ENSG00000100124	uc003auc.3
ANKRD54P1			10q11.21	ENSG00000236442	
ANKRD55		FLJ11795	5q11.2	ENSG00000164512	uc003jqu.3
ANKRD57P1			Yq11.1		
ANKRD60	C20orf86	bA196N14.3	20q13.32	ENSG00000124227	
ANKRD61			7p22	ENSG00000157999	uc031swn.1
ANKRD62		DKFZp779B1634	18p11.21	ENSG00000181626	uc031rhk.1
ANKRD62P1			22q11.1	ENSG00000259271	
ANKRD62P1-PARP4P3		VWFP1-ANKRD62P1-PARP4P3	22q11.1	ENSG00000189295	uc021wkm.1
ANKRD63			15q15.1	ENSG00000230778	uc021sjf.1
ANKRD65			1p36.33	ENSG00000235098	uc010nyo.2
ANKRD66			6p12.3	ENSG00000230062	uc011dwf.2
ANKS1A	ANKS1	KIAA0229	6p21.31	ENSG00000064999	uc003ojx.4
ANKS1B		EB-1, AIDA-1, cajalin-2, ANKS2	12q23.1		uc001tge.2
ANKS3		KIAA1977, FLJ32345, FLJ32767	16p13.3	ENSG00000168096	uc002cxj.2
ANKS4B		FLJ38819, HARP	16p12.2		uc010bwp.1
ANKS6	SAMD6, ANKRD14	FLJ36928, NPHP16	9q31.1	ENSG00000165138	uc004ayu.3
ANKUB1	C3orf16		3q25.1	ENSG00000206199	uc003exl.3
ANKZF1		FLJ10415, ZNF744	2q35	ENSG00000163516	uc002vkg.3
ANLN		ANILLIN, Scraps, scra	7p15-p14	ENSG00000011426	uc003tff.4
ANO1	ORAOV2, TMEM16A	TAOS2, FLJ10261, DOG1	11q13.2	ENSG00000131620	uc001opj.3
ANO1-AS1			11q13.3	ENSG00000254902	
ANO1-AS2	C11orf78, NCRNA00224		11q13.3	ENSG00000254417	uc031xtv.1
ANO2	C12orf3, TMEM16B		12p13.3		uc031yre.1
ANO3	C11orf25, TMEM16C	GENX-3947, DYT23	11p14.2	ENSG00000134343	uc001mqt.4
ANO4	TMEM16D	FLJ34221, FLJ34272, FLJ35277	12q23.3	ENSG00000151572	uc001thx.2
ANO5	TMEM16E, LGMD2L	GDD1	11p15.1	ENSG00000171714	uc001mqi.2
ANO6	TMEM16F	DKFZp313M0720	12q12-q13.11		uc010slf.2
ANO7	PCANAP5, TMEM16G	NGEP, PCANAP5L, IPCA-5	2q37.3	ENSG00000146205	uc002wax.2
ANO7P1	TMEM16M, C1orf224, ANO7L1		1p36.13	ENSG00000237276	
ANO8	KIAA1623, TMEM16H		19p13.12		uc002ngf.2
ANO9	TP53I5, TMEM16J	PIG5	11p15.5	ENSG00000185101	uc001lpi.2
ANO10	TMEM16K	FLJ10375, MGC47890, SCAR10	3p22.1-p21.33	ENSG00000160746	uc003cmv.3
ANOP1		MCOPS4	X		
ANOS1	KAL, ADMLX, KAL1	KALIG-1, WFDC19	Xp22.32	ENSG00000011201	uc004csf.3
ANOS2P	ADMLY, KALP	KAL-Y	Yq11	ENSG00000241859	
ANP32A	C15orf1	LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin	15q23	ENSG00000140350	uc002arl.3
ANP32A-IT1	C15orf28, NCRNA00321	FLJ11722, HsT18971	15q23		uc010uka.3
ANP32AP1			15q14	ENSG00000259516	uc001ziy.3
ANP32B		SSP29, PHAPI2, APRIL	9q22.32	ENSG00000136938	uc004aya.3
ANP32BP1			15q24.2	ENSG00000259790	
ANP32BP2			22q13.31	ENSG00000231801	
ANP32BP3			15q25.1	ENSG00000259461	
ANP32C		PP32R1	4q32.3	ENSG00000248546	uc011cjk.2
ANP32D		PP32R2	12q13.12	ENSG00000139223	uc010slt.2
ANP32E		LANPL, MGC5350, LANP-L	1q22	ENSG00000143401	uc031uya.1
ANPEP	CD13, PEPN	LAP1, gp150, p150	15q25-q26	ENSG00000166825	uc002bop.4
ANTXR1		TEM8, FLJ21776, FLJ10601, ATR	2p13.1	ENSG00000169604	uc002sfg.3
ANTXR2		CMG2, CMG-2, FLJ31074	4q21.3	ENSG00000163297	uc003hlz.4
ANTXRL			10q11.22	ENSG00000274209	uc031wet.1
ANTXRLP1			10q11.22	ENSG00000263482	uc031wer.1
ANXA1	ANX1, LPC1		9q21.13	ENSG00000135046	uc004ajf.1
ANXA2	ANX2, ANX2L4, CAL1H, LPC2D	LIP2	15q22.2	ENSG00000182718	uc002agm.3
ANXA2P1	LPC2A, ANX2P1, ANX2L1		4q31.3		uc003inj.2
ANXA2P2	ANX2P2, ANX2L2, LPC2B		9p13.3	ENSG00000231991	
ANXA2P3	ANX2P3, ANX2L3, LPC2C	LIP2	10q21.3		uc009xpm.3
ANXA2R	C5orf39	AXIIR	5p12	ENSG00000177721	uc003jnf.3
ANXA3	ANX3		4q21.21	ENSG00000138772	uc003hld.3
ANXA4	ANX4		2p13.3	ENSG00000196975	uc002sfr.4
ANXA5	ENX2, ANX5		4q27	ENSG00000164111	uc003idv.4
ANXA6	ANX6		5q33.1	ENSG00000197043	uc003ltl.2
ANXA7	ANX7		10q22.2	ENSG00000138279	uc001jtz.2
ANXA8	ANX8		10q11.22	ENSG00000265190	uc001jev.4
ANXA8L1	ANXA8L2	bA301J7.3, bA145E20.2	10q11.22	ENSG00000264230	
ANXA9	ANX31		1q21.2	ENSG00000143412	uc001ewa.2
ANXA10		ANX14	4q32.3	ENSG00000109511	uc003irm.3
ANXA11	ANX11		10q22.3	ENSG00000122359	uc001kbt.1
ANXA13	ANX13		8q24.13	ENSG00000104537	uc003yqt.3
AOAH			7p14.2	ENSG00000136250	uc032zjv.1
AOAH-IT1			7p14.2	ENSG00000230539	uc031swz.1
AOC1	ABP1	DAO	7q36.1	ENSG00000002726	
AOC2		RAO, DAO2	17q21		uc002ibu.4
AOC3		VAP1, HPAO, VAP-1	17q21		uc002ibv.5
AOC4P			17q21.31	ENSG00000260105	
AOX1		AO, AOH1	2q33	ENSG00000138356	uc002uvx.3
AOX2P	AOX2	AOH2	2q33.2	ENSG00000243478	uc031rqn.1
AOX3P		AOH1	2q33.1	ENSG00000244301	
AP1AR	C4orf16	PRO0971, 2C18, gamma-BAR	4q25	ENSG00000138660	uc003iaj.5
AP1B1	ADTB1, CLAPB2	BAM22, AP105A	22q12.2	ENSG00000100280	uc003afj.3
AP1B1P1	ADTB1L1	dJ127L4.2	22q12.3	ENSG00000234479	uc021woc.1
AP1B1P2	ADTB1L2	dJ127L4.3	22q12.3	ENSG00000232707	
AP1G1	CLAPG1, ADTG		16q23		uc010cgg.3
AP1G2		G2AD	14q11.2	ENSG00000213983	uc001wkl.3
AP1M1		AP47, CLAPM2	19p13.11	ENSG00000072958	uc002ndv.2
AP1M2		HSMU1B, mu2, AP1-mu2	19p13.2	ENSG00000129354	uc002mpc.3
AP1S1	CLAPS1, EKV3	AP19, SIGMA1A, WUGSC:H_DJ0747G18.2	7q22.1	ENSG00000106367	uc003uxv.4
AP1S2	MRX59, MRXS5, PGS	SIGMA1B	Xp22	ENSG00000182287	uc010wot.1
AP1S2P1			7q21.3	ENSG00000226046	
AP1S3			2q36.3	ENSG00000152056	uc002vnn.3
AP2A1	CLAPA1, ADTAA		19q13.33	ENSG00000196961	uc002ppn.3
AP2A2	CLAPA2, ADTAB	DKFZP564D1864, HYPJ, KIAA0899, HIP9	11p15.5	ENSG00000183020	uc001lst.2
AP2B1	ADTB2, CLAPB1		17q12	ENSG00000006125	uc002hjq.3
AP2M1	CLAPM1	AP50, mu2	3q28	ENSG00000161203	uc003fmw.3
AP2S1	CLAPS2, HHC3	FBHOk, FBH3	19q13.32	ENSG00000042753	uc002pft.1
AP3B1		ADTB3A, HPS2	5q14.1	ENSG00000132842	uc003kfj.4
AP3B2		NAPTB	15q	ENSG00000103723	uc010uoi.3
AP3D1		ADTD	19p13.3	ENSG00000065000	uc002lva.4
AP3M1			10q22.2	ENSG00000185009	uc001jwh.3
AP3M2		CLA20, AP47B	8p11.2	ENSG00000070718	uc003xoo.3
AP3S1	CLAPS3		5q22	ENSG00000177879	uc003krl.3
AP3S2		sigma3b	15q26.1	ENSG00000157823	
AP4B1	SPG47	BETA-4	1p13.2	ENSG00000134262	uc001eeb.3
AP4B1-AS1			1p13.2	ENSG00000226167	uc001edv.3
AP4E1		AP-4-EPSILON, SPG51	15q21.2	ENSG00000081014	uc001zyx.2
AP4M1		MU-ARP2, MU-4, SPG50	7q22.1	ENSG00000221838	uc003utb.4
AP4S1		CLA20, AP47B, SPG52	14q12	ENSG00000100478	uc021rry.1
AP5B1		PP1030, AP-5, DKFZp761E198	11q13.1	ENSG00000254470	uc031qbm.1
AP5M1	C14orf108, MUDENG	FLJ10813, MuD, mu5	14q22.2	ENSG00000053770	uc001xcv.3
AP5S1	C20orf29	FLJ11168	20p13	ENSG00000125843	uc002wjs.2
AP5Z1	KIAA0415	SPG48, zeta	7p22.1	ENSG00000242802	uc003sne.3
APAF1		CED4, APAF-1	12q23		uc001tfz.3
APBA1	MINT1	D9S411E, X11	9q21.12	ENSG00000107282	uc004ahh.2
APBA2	X11L, MINT2	D15S1518E, LIN-10, MGC:14091, HsT16821	15q11-q12	ENSG00000034053	uc001zck.3
APBA3		X11L2, mint3	19p13.3		uc002lyp.1
APBB1	RIR	Fe65	11p15		uc001mcy.2
APBB1IP		INAG1, RIAM	10p12.1	ENSG00000077420	uc001iss.3
APBB2		FE65L, FE65L1, MGC35575	4p13	ENSG00000163697	uc003gvn.3
APBB3		FE65L2	5q31	ENSG00000113108	uc003lge.1
APC		DP2, DP3, DP2.5, PPP1R46	5q21-q22	ENSG00000134982	uc003kpy.4
APC2		APCL	19p13.3	ENSG00000115266	uc002lsr.1
APCDD1		B7323	18p11.21	ENSG00000154856	uc002kom.4
APCDD1L		FLJ90166	20q13.32	ENSG00000198768	uc002xze.1
APCDD1L-AS1			20q13.32	ENSG00000231290	uc002xzf.1
APCS		SAP, PTX2, MGC88159	1q21-q23	ENSG00000132703	uc001ftv.3
APEH	D3F15S2, DNF15S2, D3S48E		3p21	ENSG00000164062	uc003cxf.3
APELA		Ende, ELA, tdl	4q32.3	ENSG00000248329	
APEX1	APEX	APE, REF1, HAP1, APX, APEN, REF-1, APE-1	14q11.2	ENSG00000100823	uc021rnr.1
APEX2		APEXL2, APE2, XTH2, ZGRF2	Xp11.23	ENSG00000169188	uc004dtz.4
APH1A		APH-1A, CGI-78	1q21.2	ENSG00000117362	uc001ety.2
APH1B		PSFL, APH-1B, DKFZp564D0372	15q22.2	ENSG00000138613	uc002ama.3
API5		AAC-11, API5L1, AAC11	11p12	ENSG00000166181	uc010rfh.1
API5P1	API5L1		Xq24	ENSG00000234558	
API5P2			2q31.2	ENSG00000213962	
APIP		CGI-29, Mmrp19, APIP2	11p13		uc001mvs.3
APITD1		CENPS, CENP-S, MHF1, FAAP16	1p36.22	ENSG00000175279	
APITD1-CORT			1p36.22	ENSG00000251503	uc021ogd.1
APLF	C2orf13	MGC47799, Xip1, ZCCHH1	2p14	ENSG00000169621	uc002sep.3
APLN		apelin, XNPEP2	Xq25	ENSG00000171388	uc004eus.3
APLNR	AGTRL1	FLJ90771, APJ, APJR	11q12.1	ENSG00000134817	uc001njo.3
APLP1		APLP	19q		uc002ocf.3
APLP2	APPL2	APPH	11q24	ENSG00000084234	uc021qsg.1
APMAP	C20orf3	BSCv	20p11.2	ENSG00000101474	uc002wty.3
APOA1			11q23-q24	ENSG00000118137	uc001ppv.1
APOA1-AS			11q23.3	ENSG00000235910	
APOA1BP		AIBP, MGC119143, MGC119144, MGC119145, YJEFN1	1q21	ENSG00000163382	uc001fph.3
APOA2			1q23.3	ENSG00000158874	uc001fzc.1
APOA4			11q23.3	ENSG00000110244	uc001pps.1
APOA5		RAP3, APOA-V	11q23	ENSG00000110243	uc009yzf.3
APOB			2p24-p23	ENSG00000084674	uc002red.3
APOBEC1		BEDP, CDAR1, APOBEC-1, HEPR	12p13.1	ENSG00000111701	uc001qtb.3
APOBEC2		ARCD1, ARP1	6p21	ENSG00000124701	uc003opl.3
APOBEC3A		ARP3, PHRBN	22q13.1-q13.2	ENSG00000128383	
APOBEC3AP1			4q33	ENSG00000248822	
APOBEC3A_B			22q13 alternate reference locus		uc032qsn.1
APOBEC3B		PHRBNL, FLJ21201	22q13.1-q13.2	ENSG00000179750	uc003awo.2
APOBEC3B-AS1			22q13.1	ENSG00000249310	uc032qpa.1
APOBEC3C		APOBEC1L, PBI, bK150C2.3, ARDC2, ARDC4, ARP5	22q13.1-q13.2	ENSG00000244509	uc003awr.3
APOBEC3D	APOBEC3E	ARP6, APOBEC3DE	22q13.1	ENSG00000243811	
APOBEC3F		ARP8, BK150C2.4.MRNA, KA6	22q13.1-q13.2	ENSG00000128394	uc003aww.3
APOBEC3G		CEM15, MDS019, dJ494G10.1, FLJ12740, bK150C2.7	22q13.1-q13.2	ENSG00000239713	
APOBEC3H		ARP10	22q13.1	ENSG00000100298	uc021wpt.1
APOBEC4	C1orf169	MGC26594, FLJ25691, RP1-127C7.4	1q25.3	ENSG00000173627	uc001gqn.3
APOBR		APOB48R, APOB100R	16p11.2	ENSG00000184730	uc002dqb.2
APOC1			19q13.2		uc002pae.1
APOC1P1			19q13.32	ENSG00000214855	uc021uvm.1
APOC2			19q13.2	ENSG00000234906	uc021uvn.2
APOC3			11q23.3	ENSG00000110245	uc001ppt.1
APOC4			19q13.2	ENSG00000267467	
APOC4-APOC2			19q13.32	ENSG00000224916	
APOD			3q29	ENSG00000189058	uc003fur.2
APOE	AD2		19q13.31	ENSG00000130203	uc002pab.3
APOF			12q13		uc001sle.1
APOH	B2G1	BG	17q24.2		uc002jfn.4
APOL1	APOL		22q13.1	ENSG00000100342	uc003apf.3
APOL2		APOL-II	22q12.3	ENSG00000128335	uc003apa.3
APOL3		CG12-1, APOLIII	22q13.1	ENSG00000128284	uc003aot.3
APOL4		APOLIV	22q11.2-q13.2	ENSG00000100336	uc032qnf.1
APOL5		APOLV	22q12.3	ENSG00000128313	uc003aof.3
APOL6		APOL-VI, APOLVI	22q12.3	ENSG00000221963	uc003aoe.3
APOLD1		FLJ25138, DKFZP434F0318	12p13.2	ENSG00000178878	uc001rau.4
APOM		ApoM, G3a, NG20	6p21	ENSG00000204444	uc003nvl.3
APOO	FAM121B	MGC4825, My025, Mic23, MIC26	Xp22.11	ENSG00000184831	uc004dax.3
APOOL	CXorf33, FAM121A	UNQ8193, AAIR8193, Mic27	Xq21.1	ENSG00000155008	uc004eem.3
APOOP1			5q33.3		
APOOP2			3p11.2	ENSG00000240902	
APOOP3			12q14.3	ENSG00000255700	
APOOP4			4q13.2	ENSG00000248122	
APOOP5			16q21	ENSG00000260240	
APOPT1	C14orf153	MGC2562, APOP-1	14q32.33	ENSG00000256053	
APP	AD1		21q21.2	ENSG00000142192	uc002ylz.3
APPBP2		KIAA0228, Hs.84084, PAT1	17q23.2	ENSG00000062725	uc002iys.2
APPL1		APPL	3p14.3	ENSG00000157500	uc003dio.3
APPL2		FLJ10659, DIP13B	12q23.3	ENSG00000136044	uc001tlf.1
APRT			16q24		uc002flv.3
APTR	RSBN1L-AS1		7q11.23	ENSG00000214293	uc003ugk.4
APTX	AXA1	FLJ20157, AOA, AOA1, EAOH, EOAHA	9p13.3	ENSG00000137074	uc003zry.3
AQP1	CO	CHIP28	7p14	ENSG00000240583	
AQP2			12q12-q13		uc001rvn.3
AQP3		GIL	9p13	ENSG00000165272	uc003zsx.3
AQP4		MIWC	18q11.2-q12.1	ENSG00000171885	uc002kwa.3
AQP4-AS1	C18orf16, CHST9-AS1	FLJ30507	18q12.1	ENSG00000260372	uc002kwb.2
AQP5			12q13		uc001rvo.3
AQP6	AQP2L		12q13	ENSG00000086159	uc001rvr.1
AQP7	AQP7L	AQP9, AQPap	9p13	ENSG00000165269	uc003zst.3
AQP7P1			9q12	ENSG00000186466	uc004aeo.2
AQP7P2			9q21.11	ENSG00000181997	
AQP7P3		AQPap-3	9q21.11	ENSG00000279688	uc033crp.1
AQP7P4			9q13	ENSG00000176115	
AQP7P5			9p11.2	ENSG00000278122	
AQP8			16p12	ENSG00000103375	uc002doc.3
AQP9		SSC1, HsT17287	15q	ENSG00000103569	uc002aez.2
AQP10			1q21.3	ENSG00000143595	uc001feu.3
AQP11			11q13.5	ENSG00000178301	uc001oyj.3
AQP12A	AQP12		2q37.3	ENSG00000184945	uc002vzu.3
AQP12B	INSSA3		2q37.3	ENSG00000185176	uc010fzj.3
AQR		KIAA0560, fSAP164, IBP160	15q13		uc001ziv.3
AR	DHTR, SBMA	AIS, NR3C4, SMAX1, HUMARA	Xq12	ENSG00000169083	uc004dwu.2
ARAF	ARAF1		Xp11.3-p11.23	ENSG00000078061	uc033ebz.1
ARAFP1			7q11.21	ENSG00000231264	
ARAFP2	ARAF2, ARAFPS, ARAF2P	PKS1	7q11.21	ENSG00000224368	
ARAFP3	ARAF3P		7q11.21	ENSG00000227298	
ARAP1	CENTD2		11q13.3	ENSG00000186635	uc001osu.3
ARAP1-AS1			11q13.4	ENSG00000256007	
ARAP1-AS2			11q13.4	ENSG00000245148	
ARAP2	CENTD1	PARX	4p15.1	ENSG00000047365	uc003gsq.2
ARAP3	CENTD3	FLJ21065, DRAG1	5q31.3	ENSG00000120318	uc003llm.3
ARC		KIAA0278, Arg3.1	8q24.3	ENSG00000198576	uc003ywn.2
ARCN1	COPD		11q23.3	ENSG00000095139	uc001ptq.3
AREG	SDGF, AREGB		4q13.3	ENSG00000109321	uc032tme.1
AREL1	KIAA0317		14q24.2	ENSG00000119682	uc001xqb.3
ARF1			1q42.13	ENSG00000143761	uc001hrr.3
ARF1P1			7q21.3	ENSG00000219807	
ARF1P2			12q24.31	ENSG00000213137	
ARF1P3			8q24.13	ENSG00000253885	
ARF3			12q13.12	ENSG00000134287	uc001rsr.2
ARF4	ARF2		3p14.3	ENSG00000168374	uc003dix.4
ARF4-AS1			3p14.3	ENSG00000272146	
ARF4P1	ARF4P		9q34.2	ENSG00000271525	
ARF4P2		dJ885L7.7	20q13.33	ENSG00000236527	
ARF4P3			13q32.3	ENSG00000214051	
ARF4P4			13q31.1	ENSG00000231222	
ARF4P5			1p31.1		
ARF5			7q31.3	ENSG00000004059	uc003vmb.2
ARF6			14q21.3	ENSG00000165527	uc001wxg.4
ARFGAP1	ARF1GAP	FLJ10767, bA261N11.3	20q13.33	ENSG00000101199	uc002yel.4
ARFGAP2	ZNF289	IRZ, Zfp289, FLJ14576	11p11.2-p11.12	ENSG00000149182	uc001ndt.3
ARFGAP3	ARFGAP1		22q13.2	ENSG00000242247	uc003bdd.2
ARFGEF1		DKFZP434L057, BIG1, ARFGEP1, p200	8q13	ENSG00000066777	uc003xxo.2
ARFGEF2		BIG2	20q13.13	ENSG00000124198	uc002xtx.4
ARFGEF3	C6orf92, KIAA1244	dJ171N11.1, BIG3, PPP1R33	6q23.3	ENSG00000112379	uc003qhu.3
ARFIP1		HSU52521	4q31.3		uc003inc.4
ARFIP2		POR1	11p15	ENSG00000132254	uc010ran.2
ARFRP1		ARP, Arp1, ARL18	20q13.3	ENSG00000101246	uc032ppb.1
ARG1			6q23	ENSG00000118520	uc003qcp.2
ARG2			14q24.1		uc001xjs.3
ARGFX			3q13.33	ENSG00000186103	uc003eef.3
ARGFXP1			5q23.2		
ARGFXP2			17q11.2		uc002hhc.5
ARGLU1		FLJ10154	13q33.3	ENSG00000134884	uc001vqk.4
ARHGAP1		RhoGAP, p50rhoGAP, CDC42GAP, Cdc42GAP	11p11.2	ENSG00000175220	uc001ndd.4
ARHGAP4		KIAA0131, C1, p115, RhoGAP4, SrGAP4	Xq28	ENSG00000089820	uc004fjk.2
ARHGAP5	GFI2	RhoGAP5, p190-B, p190BRhoGAP	14q12		uc001wrn.3
ARHGAP5-AS1	C14orf128	MGC15504	14q12	ENSG00000258655	uc010amk.3
ARHGAP6		rhoGAPX-1	Xp22.3	ENSG00000047648	uc004cup.1
ARHGAP8		FLJ20185, BPGAP1	22q13.3	ENSG00000241484	
ARHGAP9		MGC1295, 10C	12q13.3	ENSG00000123329	uc001soc.3
ARHGAP10		FLJ20896, FLJ41791, GRAF2	4q31.23	ENSG00000071205	uc003ilf.3
ARHGAP11A		KIAA0013	15q13.3	ENSG00000198826	uc001zgy.2
ARHGAP11B	FAM7B1	B'-T	15q13.2		uc001zet.1
ARHGAP12		FLJ20737, FLJ10971, FLJ21785	10p11.22	ENSG00000165322	uc001ivz.2
ARHGAP15		BM046	2q22.2-q22.3	ENSG00000075884	uc002tvm.4
ARHGAP16P	ARHGAP15P		14q21.2		
ARHGAP17		RICH1, FLJ10308, NADRIN, FLJ13219, WBP15	16p12.2-p12.1		uc002dnb.4
ARHGAP18		MacGAP, bA307O14.2	6q23.1	ENSG00000146376	uc003qbr.3
ARHGAP19		FLJ00194, MGC14258	10q24.2	ENSG00000213390	uc001knb.3
ARHGAP19-SLIT1			10q24.1	ENSG00000269891	
ARHGAP20		KIAA1391	11q23.2	ENSG00000137727	uc001pkz.2
ARHGAP21		KIAA1424, ARHGAP10	10p12.31	ENSG00000107863	uc001isb.2
ARHGAP22		RhoGAP2	10q11.23	ENSG00000128805	uc010qgm.3
ARHGAP22-IT1		FLJ35752	10q11.22	ENSG00000248682	
ARHGAP23		KIAA1501	17q12	ENSG00000275832	uc021twd.1
ARHGAP23P1			16p11.2	ENSG00000260781	
ARHGAP24		DKFZP564B1162, FLJ33877, FilGAP	4q22.1	ENSG00000138639	uc003hpk.3
ARHGAP25		KIAA0053	2p13.3	ENSG00000163219	uc010fdg.3
ARHGAP26		GRAF, KIAA0621, OPHN1L, OPHN1L1	5q31	ENSG00000145819	uc011dbj.2
ARHGAP26-AS1			5q31.3	ENSG00000226272	uc003lmv.3
ARHGAP26-IT1			5q31.3	ENSG00000230789	
ARHGAP27	SH3D20	CAMGAP1, FLJ43547, SH3P20	17q21.31	ENSG00000159314	uc032fka.1
ARHGAP28		KIAA1314, FLJ10312	18p11.23		uc002kne.3
ARHGAP29		PARG1	1p22.1	ENSG00000137962	uc001dqj.4
ARHGAP30		FLJ00267	1q23.3	ENSG00000186517	uc001fxl.3
ARHGAP31		CDGAP	3q13.33	ENSG00000031081	uc003ecj.4
ARHGAP31-AS1			3q13.33	ENSG00000241155	
ARHGAP32		GRIT, KIAA0712, MGC1892, RICS, GC-GAP	11q24.3	ENSG00000134909	uc009zcp.3
ARHGAP33	SNX26	FLJ39019, TCGAP	19q13.13		uc002obs.2
ARHGAP35	GRLF1	GRF-1, p190ARhoGAP, P190A, KIAA1722, p190RhoGAP	19q13.32	ENSG00000160007	uc010ekv.3
ARHGAP36		FLJ30058	Xq26.1	ENSG00000147256	uc004ewa.4
ARHGAP39		KIAA1688, Vilse, CrGAP	8q24.3	ENSG00000147799	uc003zds.1
ARHGAP40	C20orf95	dJ1100H13.4	20q11.23	ENSG00000124143	uc021wdn.1
ARHGAP42		FLJ32810, GRAF3	11q22.1	ENSG00000165895	uc001pge.2
ARHGAP42P1			2q21.1	ENSG00000227817	
ARHGAP42P2			2q21.1	ENSG00000231147	
ARHGAP42P3	OPHN1P1		22q11.1	ENSG00000235759	
ARHGAP42P4			14q11.2	ENSG00000258080	
ARHGAP42P5			14q11.2	ENSG00000258233	
ARHGAP44		KIAA0672, RICH-2, RICH2	17p12	ENSG00000006740	uc002gnr.4
ARHGDIA	GDIA1	RHOGDI	17q25.3		uc002kbq.3
ARHGDIB	RAP1GN1, GDIA2, GDID4	Ly-GDI, RhoGDI2	12p12.3		uc001rcq.1
ARHGDIG		RHOGDI-3	16p13.3	ENSG00000242173	uc002cgm.1
ARHGEF1		P115-RHOGEF, SUB1.5, LBCL2	19q13.13	ENSG00000076928	uc002osa.3
ARHGEF2		LFP40, GEF-H1, KIAA0651, P40	1q21-q22	ENSG00000116584	uc001fmt.2
ARHGEF3		STA3, XPLN, GEF3, DKFZP434F2429	3p14.3	ENSG00000163947	uc003dih.2
ARHGEF3-AS1			3p14.3	ENSG00000240198	uc031sae.1
ARHGEF4		STM6, KIAA1112, ASEF	2q22	ENSG00000136002	uc032ocg.1
ARHGEF5		TIM, TIM1, GEF5, P60	7q35	ENSG00000050327	uc003wel.3
ARHGEF6	MRX46	alphaPIX, Cool-2, KIAA0006, alpha-PIX, Cool2	Xq26	ENSG00000129675	uc004fab.4
ARHGEF7		KIAA0142, PIXB, DKFZp761K1021, Nbla10314, DKFZp686C12170, BETA-PIX, COOL1, P85SPR, P85, P85COOL1, P50BP, PAK3, P50	13q33.3	ENSG00000102606	uc001vrs.2
